X,Y,code,abbr,name,state_name
74.902663289078774,35.5778986480314,0,POK,POK,Jammu & Kashmir
78.413549415646727,34.299567060263591,3,LE,Leh (Ladakh),Jammu & Kashmir
76.416943143711435,33.958121979512917,4,KR,Kargil,Jammu & Kashmir
74.815462331864197,34.483634138095418,9,BPR,Bandipore,Jammu & Kashmir
74.118969208648352,34.428386010138446,1,KU,Kupwara,Jammu & Kashmir
75.042732983247646,34.296564273775694,11,GB,Ganderbal,Jammu & Kashmir
74.252976826397443,34.089172588051966,8,BR,Baramula,Jammu & Kashmir
75.291281674622297,33.825321909624812,14,AN,Anantnag,Jammu & Kashmir
75.915060810758561,33.545663376516892,18,KW,Kishtwar,Jammu & Kashmir
74.931179910729043,34.11831648419119,10,SR,Srinagar,Jammu & Kashmir
75.027550340174571,33.945866752554153,12,PU,Pulwama,Jammu & Kashmir
74.655968206417171,33.913770302721872,2,BD,Badgam,Jammu & Kashmir
74.23387487787916,33.665058690566802,5,PO,Punch,Jammu & Kashmir
74.857995088035949,33.608846192914612,15,KG,Kulgam,Jammu & Kashmir
74.822043985461903,33.741116112152753,13,SH,Shupiyan,Jammu & Kashmir
75.17028950612854,33.325018745609491,17,RB,Ramban,Jammu & Kashmir
74.359132666993219,33.233059828258448,6,RA,Rajouri,Jammu & Kashmir
74.833356860702565,33.221918915840526,20,RS,Reasi,Jammu & Kashmir
75.678868350295801,33.084960587636786,16,DO,Doda,Jammu & Kashmir
76.366827928750354,32.671586036162658,23,CH,Chamba,Himachal Pradesh
77.627555936936375,32.476328858326355,25,LS,Lahul & Spiti,Himachal Pradesh
75.269781026646612,32.876025806546743,19,UD,Udhampur,Jammu & Kashmir
74.661692541387495,32.779750287512535,21,JA,Jammu,Jammu & Kashmir
75.56562685923609,32.554622318913239,7,KT,Kathua,Jammu & Kashmir
75.02953008599999,32.577134888119247,22,SB,Samba,Jammu & Kashmir
75.400632978580248,32.006041756177183,35,GU,Gurdaspur,Punjab
76.327338351641828,32.091472394270731,24,KA,Kangra,Himachal Pradesh
77.403902393217521,31.897283259344647,26,KU,Kullu,Himachal Pradesh
78.410873478803083,31.59116327875579,34,KI,Kinnaur,Himachal Pradesh
75.874980204473673,31.612432539907221,38,HO,Hoshiarpur,Punjab
74.922834582237712,31.699282581326603,49,AM,Amritsar,Punjab
77.00009536242527,31.624811428023193,27,MA,Mandi,Himachal Pradesh
76.539111823156887,31.65230364778715,28,HA,Hamirpur,Himachal Pradesh
76.223413631047094,31.564240598360779,29,UNA,Una,Himachal Pradesh
77.635969761281373,31.190140449302884,33,SH,Shimla,Himachal Pradesh
75.575276183314941,31.201896745354958,37,JA,Jalandhar,Punjab
76.671682323685758,31.357150718195818,30,BI,Bilaspur,Himachal Pradesh
74.856864615968831,31.313382972671647,50,TT,Tarn Taran,Punjab
78.608221941766615,30.964393162380016,56,UT,Uttarkashi,Uttarakhand
76.495550856249992,31.050675728492738,51,RU,Rupnagar,Punjab
76.918092122446737,31.035103826591961,31,SO,Solan,Himachal Pradesh
76.15761708734189,31.097734977448045,39,PB,Shahid Bhagat Singh Nagar,Punjab
74.41270052739651,30.546263491004432,43,FI,Firozpur,Punjab
75.181913995188054,30.757257432259681,42,MO,Moga,Punjab
79.585691181931693,30.490535299378625,57,CL,Chamoli,Uttarakhand
77.971637647239376,30.460849454914836,60,DD,Dehradun,Uttarakhand
77.434841748869331,30.662184886037359,32,SO,Sirmaur,Himachal Pradesh
75.838872862046955,30.795994802185461,41,LU,Ludhiana,Punjab
76.978940584746084,30.675211283629416,69,PK,Panchkula,Haryana
76.747328719175826,30.669911599279505,52,SAS,Sahibzada Ajit Singh Nagar,Punjab
76.376108025815938,30.644713924699577,40,FT,Fatehgarh Sahib,Punjab
78.543464578712019,30.436231575614656,59,TG,Tehri Garhwal,Uttarakhand
74.782698759977322,30.600049276027466,45,FR,Faridkot,Punjab
79.068111737684987,30.50920438452323,58,RP,Rudraprayag,Uttarakhand
76.777935663235681,30.727889645207302,55,CH,Chandigarh,Chandigarh
80.359229779126082,30.09238939440824,62,PI,Pithoragarh,Uttarakhand
75.872556721452895,30.202804611445,53,SA,Sangrur,Punjab
74.550354966302635,30.270220933762488,44,MU,Muktsar,Punjab
75.510663434301492,30.379693622874054,54,BNL,Barnala,Punjab
75.048739014144303,30.171923183517286,46,BA,Bathinda,Punjab
76.941877481830772,30.315793289066391,70,AM,Ambala,Haryana
77.306172411464502,30.23579458796581,71,YN,Yamunanagar,Haryana
77.548578010693731,29.950017737734932,132,SA,Saharanpur,Uttar Pradesh
79.86473032905603,29.994136028661053,63,BA,Bageshwar,Uttarakhand
78.779224199483764,29.880328864088387,61,PG,Garhwal,Uttarakhand
76.786964680720516,30.033171960301459,72,KU,Kurukshetra,Haryana
78.007188097439212,29.883225273205685,68,HA,Hardwar,Uttarakhand
75.447171331258474,29.888348050250617,47,MA,Mansa,Punjab
73.570255965734219,29.391827240924041,99,GA,Ganganagar,Rajasthan
76.417470246825872,29.806011936403237,73,KT,Kaithal,Haryana
76.883398810412629,29.683074454716404,74,KR,Karnal,Haryana
79.517938688524808,29.686587526498425,64,AL,Almora,Uttarakhand
74.559398310075707,29.263391212314133,100,HA,Hanumangarh,Rajasthan
74.909772877967669,29.594614754906104,79,SI,Sirsa,Haryana
76.316512413530958,29.421306787675611,77,JI,Jind,Haryana
75.599805402608808,29.556542413898956,78,FT,Fatehabad,Haryana
78.392924095478406,29.384594691027257,134,BI,Bijnor,Uttar Pradesh
77.590299729693285,29.444255238255202,133,MU,Muzaffarnagar,Uttar Pradesh
